symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
AAPL,2015-09-30 00:00:00+00:00,102.1031199922,103.2509701173,100.6497936243,101.9827808662,65041596,110.3,0.0,111.54,108.73,110.17,1.0,65041596
AAPL,2015-10-01 00:00:00+00:00,101.4366263713,101.4736537946,99.335320094,100.9645267231,63929100,109.58,0.0,109.62,107.31,109.07,1.0,63929100
AAPL,2015-10-02 00:00:00+00:00,102.177174839,102.7636892255,99.5574846343,99.9833000033,58019758,110.38,0.0,111.0136,107.55,108.01,1.0,58019758
AAPL,2015-10-05 00:00:00+00:00,102.5474490729,103.0934184308,100.9645267231,101.7143320467,52064743,110.78,0.0,111.3698,109.07,109.88,1.0,52064743
AAPL,2015-10-06 00:00:00+00:00,103.0380624328,103.4361072342,101.6078782044,102.4085962352,48856977,111.31,0.0,111.74,109.765,110.63,1.0,48856977
AAPL,2015-10-07 00:00:00+00:00,102.5474490729,103.4638778017,101.2792598219,103.4361072342,46765550,110.78,0.0,111.77,109.41,111.74,1.0,46765550
AAPL,2015-10-08 00:00:00+00:00,101.3625715245,102.0012945779,100.1684371202,102.0012945779,61979577,109.5,0.0,110.19,108.21,110.19,1.0,61979577
AAPL,2015-10-09 00:00:00+00:00,103.7878677564,103.9359774499,101.3533146686,101.8254143168,52766140,112.12,0.0,112.28,109.49,110.0,1.0,52766140
AAPL,2015-10-12 00:00:00+00:00,103.3065112523,104.3710496748,103.1584015588,104.3525359631,30467204,111.6,0.0,112.75,111.44,112.73,1.0,30467204
AAPL,2015-10-13 00:00:00+00:00,103.4823915134,104.0933439993,102.4548805144,102.5844764963,33049256,111.79,0.0,112.45,110.68,110.82,1.0,33049256
AAPL,2015-10-14 00:00:00+00:00,102.0198082896,103.2324564056,101.4181126596,103.0195487211,44462449,110.21,0.0,111.52,109.56,111.29,1.0,44462449
AAPL,2015-10-15 00:00:00+00:00,103.5471895044,103.7693540447,102.2790002533,102.6863019106,37673452,111.86,0.0,112.1,110.49,110.93,1.0,37673452
AAPL,2015-10-16 00:00:00+00:00,102.7881273249,103.6767854862,102.3160276767,103.4731346576,39232609,111.04,0.0,112.0,110.53,111.78,1.0,39232609
AAPL,2015-10-19 00:00:00+00:00,103.4268503784,103.4453640901,101.9272397311,102.5659627846,29759153,111.73,0.0,111.75,110.11,110.8,1.0,29759153
AAPL,2015-10-20 00:00:00+00:00,105.3152489711,105.685523205,102.5844764963,103.0658330003,48967763,113.77,0.0,114.17,110.82,111.34,1.0,48967763
AAPL,2015-10-21 00:00:00+00:00,105.3059921153,106.9907398794,105.2504509802,105.5281566556,42326974,113.76,0.0,115.58,113.7,114.0,1.0,42326974
AAPL,2015-10-22 00:00:00+00:00,106.9166850327,106.9166850327,105.6207252141,105.8336328986,41654089,115.5,0.0,115.5,114.1,114.33,1.0,41654089
AAPL,2015-10-23 00:00:00+00:00,110.2306394259,110.3676408924,107.685004068,108.0275077343,59366914,119.08,0.0,119.228,116.33,116.7,1.0,59366914
AAPL,2015-10-26 00:00:00+00:00,106.713034204,109.3512381204,106.3797873935,109.3049538412,66333781,115.28,0.0,118.13,114.92,118.08,1.0,66333781
AAPL,2015-10-27 00:00:00+00:00,106.0372837272,107.8793980408,105.5188997998,106.8241164742,69884400,114.55,0.0,116.54,113.99,115.4,1.0,69884400
AAPL,2015-10-28 00:00:00+00:00,110.406519687,110.4342902545,107.4350689601,108.2404154188,85551352,119.27,0.0,119.3,116.06,116.93,1.0,85551352
AAPL,2015-10-29 00:00:00+00:00,111.5728835237,111.7209932173,109.4808341023,109.8788789037,51227334,120.53,0.0,120.69,118.27,118.7,1.0,51227334
AAPL,2015-10-30 00:00:00+00:00,110.6194273715,112.2116065771,110.5731430922,111.9986988927,49365254,119.5,0.0,121.22,119.45,120.99,1.0,49365254
AAPL,2015-11-02 00:00:00+00:00,112.1745791538,112.341202559,110.7212527858,110.9619310378,32203267,121.18,0.0,121.36,119.61,119.87,1.0,32203267
AAPL,2015-11-03 00:00:00+00:00,113.4612821165,114.3129128544,111.7302500731,111.8135617757,45518976,122.57,0.0,123.49,120.7,120.79,1.0,45518976
AAPL,2015-11-04 00:00:00+00:00,112.9336413332,114.6183890974,112.581880811,113.9796660439,44886050,122.0,0.0,123.82,121.62,123.13,1.0,44886050
AAPL,2015-11-05 00:00:00+00:00,112.4152574058,114.0607668799,111.7273042923,113.2798471295,39552680,120.92,0.52,122.69,120.18,121.85,1.0,39552680
AAPL,2015-11-06 00:00:00+00:00,112.5454106975,113.2426604747,112.1363574949,112.591894016,33042283,121.06,0.0,121.81,120.62,121.11,1.0,33042283
AAPL,2015-11-09 00:00:00+00:00,112.0898741764,113.2426604747,111.6064476643,112.4524440606,33871405,120.57,0.0,121.81,120.05,120.96,1.0,33871405
